Ne,c,u,E_rsqr
10,0.01,0,0.811099655
10,0.01,1.00E-09,0.246341103
10,0.02,0,0.66080095
10,0.02,1.00E-09,0.215451055
10,0.03,0,0.544405975
10,0.03,1.00E-09,0.192803958
10,0.04,0,0.455530297
10,0.04,1.00E-09,0.175461488
10,0.05,0,0.38778662
10,0.05,1.00E-09,0.161733509
10,0.06,0,0.335761657
10,0.06,1.00E-09,0.15057967
10,0.07,0,0.295283409
10,0.07,1.00E-09,0.141324826
10,0.08,0,0.263294267
10,0.08,1.00E-09,0.133511827
10,0.09,0,0.237601867
10,0.09,1.00E-09,0.126820128
10,0.1,0,0.216641515
10,0.1,1.00E-09,0.121018306
10,0.2,0,0.120526227
10,0.2,1.00E-09,0.088146777
10,0.3,0,0.088946066
10,0.3,1.00E-09,0.073590995
10,0.4,0,0.07355868
10,0.4,1.00E-09,0.065373899
10,0.5,0,0.064697253
10,0.5,1.00E-09,0.060219924
15,0.01,0,0.724465732
15,0.01,1.00E-09,0.194391978
15,0.02,0,0.535229303
15,0.02,1.00E-09,0.162591457
15,0.03,0,0.409744857
15,0.03,1.00E-09,0.141427853
15,0.04,0,0.326224598
15,0.04,1.00E-09,0.126262823
15,0.05,0,0.269072616
15,0.05,1.00E-09,0.114816503
15,0.06,0,0.228515972
15,0.06,1.00E-09,0.105838303
15,0.07,0,0.198673651
15,0.07,1.00E-09,0.098584965
15,0.08,0,0.175986208
15,0.08,1.00E-09,0.092586797
15,0.09,0,0.158243884
15,0.09,1.00E-09,0.087532205
15,0.1,0,0.144030444
15,0.1,1.00E-09,0.083206161
15,0.2,0,0.08044595
15,0.2,1.00E-09,0.059469656
15,0.3,0,0.059459562
15,0.3,1.00E-09,0.049244505
15,0.4,0,0.049076923
15,0.4,1.00E-09,0.043511931
15,0.5,0,0.043027768
15,0.5,1.00E-09,0.039919823
20,0.01,0,0.648610846
20,0.01,1.00E-09,0.16271627
20,0.02,0,0.440952035
20,0.02,1.00E-09,0.131597149
20,0.03,0,0.321306683
20,0.03,1.00E-09,0.11232857
20,0.04,0,0.249350961
20,0.04,1.00E-09,0.099121769
20,0.05,0,0.203160971
20,0.05,1.00E-09,0.089440506
20,0.06,0,0.171609849
20,0.06,1.00E-09,0.081997853
20,0.07,0,0.14890493
20,0.07,1.00E-09,0.076070525
20,0.08,0,0.131861938
20,0.08,1.00E-09,0.071220075
20,0.09,0,0.118626654
20,0.09,1.00E-09,0.067164751
20,0.1,0,0.108060959
20,0.1,1.00E-09,0.063714884
20,0.2,0,0.060705786
20,0.2,1.00E-09,0.045049778
20,0.3,0,0.044847507
20,0.3,1.00E-09,0.037106316
20,0.4,0,0.036932456
20,0.4,1.00E-09,0.032669577
20,0.5,0,0.032297116
20,0.5,1.00E-09,0.029892558
25,0.01,0,0.582606463
25,0.01,1.00E-09,0.140825075
25,0.02,0,0.370065427
25,0.02,1.00E-09,0.110977448
25,0.03,0,0.261384094
25,0.03,1.00E-09,0.093489903
25,0.04,0,0.200404683
25,0.04,1.00E-09,0.081870212
25,0.05,0,0.16263246
25,0.05,1.00E-09,0.073512637
25,0.06,0,0.13728073
25,0.06,1.00E-09,0.067166377
25,0.07,0,0.11918683
25,0.07,1.00E-09,0.06215448
25,0.08,0,0.105650921
25,0.08,1.00E-09,0.058077449
25,0.09,0,0.095147788
25,0.09,1.00E-09,0.05468356
25,0.1,0,0.086758671
25,0.1,1.00E-09,0.051805844
25,0.2,0,0.048911398
25,0.2,1.00E-09,0.036354695
25,0.3,0,0.036086258
25,0.3,1.00E-09,0.029826582
25,0.4,0,0.029654408
25,0.4,1.00E-09,0.026190564
25,0.5,0,0.025878796
25,0.5,1.00E-09,0.023917361
30,0.01,0,0.525378743
30,0.01,1.00E-09,0.124568494
30,0.02,0,0.316194274
30,0.02,1.00E-09,0.096179226
30,0.03,0,0.219166024
30,0.03,1.00E-09,0.080250413
30,0.04,0,0.167167929
30,0.04,1.00E-09,0.069900965
30,0.05,0,0.135578146
30,0.05,1.00E-09,0.062552574
30,0.06,0,0.114536708
30,0.06,1.00E-09,0.057017269
30,0.07,0,0.099554079
30,0.07,1.00E-09,0.052668939
30,0.08,0,0.088344846
30,0.08,1.00E-09,0.049144711
30,0.09,0,0.079637063
30,0.09,1.00E-09,0.046218845
30,0.1,0,0.072670863
30,0.1,1.00E-09,0.043742989
30,0.2,0,0.04103881
30,0.2,1.00E-09,0.030514784
30,0.3,0,0.030229018
30,0.3,1.00E-09,0.024955132
30,0.4,0,0.024794022
30,0.4,1.00E-09,0.021865789
30,0.5,0,0.021600294
30,0.5,1.00E-09,0.019936536
35,0.01,0,0.47584748
35,0.01,1.00E-09,0.111939393
35,0.02,0,0.274621661
35,0.02,1.00E-09,0.085021073
35,0.03,0,0.188276262
35,0.03,1.00E-09,0.070429414
35,0.04,0,0.143365177
35,0.04,1.00E-09,0.061104947
35,0.05,0,0.116358218
35,0.05,1.00E-09,0.054544407
35,0.06,0,0.098418018
35,0.06,1.00E-09,0.049629622
35,0.07,0,0.085640827
35,0.07,1.00E-09,0.045782482
